# Directed graph: Florida-bay.txt
# Florida bay food web: nodes are compartments (organisms and species) and edges are energy flow
# (edge from i to j means that carbon is transferred from i to j)
# Nodes: 128 Edges: 2106
# Downloaded from: https://snap.stanford.edu/data/Florida-bay.html
# FromNodeId ToNodeId
DOC,Free Bacteria
Meiofauna,Detritivorous Gastropods
Benthic POC,Detritivorous Gastropods
Epiphytes,Epiphytic Gastropods
Bivalves,Predatory Gastropods
Detritivorous Gastropods,Predatory Gastropods
Catfish,Predatory Gastropods
Silverside,Predatory Gastropods
Flatfish,Predatory Gastropods
Synedococcus,Detritivorous Polychaetes
Benthic Phytoplankton,Detritivorous Polychaetes
Benthic Flagellates,Detritivorous Polychaetes
Benthic Ciliates,Detritivorous Polychaetes
Benthic POC,Detritivorous Polychaetes
Benthic Phytoplankton,Predatory Polychaetes
Benthic Flagellates,Predatory Polychaetes
Benthic Ciliates,Predatory Polychaetes
Meiofauna,Predatory Polychaetes
Echinoderma,Predatory Polychaetes
Bivalves,Predatory Polychaetes
Detritivorous Polychaetes,Predatory Polychaetes
Suspension Feeding Polych,Predatory Polychaetes
Macrobenthos,Predatory Polychaetes
Benthic Crustaceans,Predatory Polychaetes
Detritivorous Amphipods,Predatory Polychaetes
Herbivorous Amphipods,Predatory Polychaetes
Isopods,Predatory Polychaetes
Benthic POC,Predatory Polychaetes
2um Spherical Phytoplankt,Suspension Feeding Polych
Synedococcus,Suspension Feeding Polych
Small Diatoms (<20um),Suspension Feeding Polych
Big Diatoms (>20um),Suspension Feeding Polych
Dinoflagellates,Suspension Feeding Polych
Other Phytoplankton,Suspension Feeding Polych
Water Flagellates,Suspension Feeding Polych
Water Cilitaes,Suspension Feeding Polych
Other Zooplankton,Suspension Feeding Polych
Benthic Flagellates,Suspension Feeding Polych
Benthic Ciliates,Suspension Feeding Polych
Water POC,Suspension Feeding Polych
Synedococcus,Macrobenthos
Benthic Phytoplankton,Macrobenthos
Benthic Flagellates,Macrobenthos
Benthic Ciliates,Macrobenthos
Meiofauna,Macrobenthos
Benthic POC,Macrobenthos
Synedococcus,Benthic Crustaceans
Benthic Phytoplankton,Benthic Crustaceans
Benthic Flagellates,Benthic Crustaceans
Benthic Ciliates,Benthic Crustaceans
Benthic POC,Benthic Crustaceans
Synedococcus,Detritivorous Amphipods
Benthic Phytoplankton,Detritivorous Amphipods
Benthic Flagellates,Detritivorous Amphipods
Benthic Ciliates,Detritivorous Amphipods
Benthic POC,Detritivorous Amphipods
Benthic Phytoplankton,Herbivorous Amphipods
Thalassia,Herbivorous Amphipods
Halodule,Herbivorous Amphipods
Syringodium,Herbivorous Amphipods
Epiphytes,Herbivorous Amphipods
Benthic POC,Herbivorous Amphipods
Thalassia,Isopods
Halodule,Isopods
Syringodium,Isopods
Epiphytes,Isopods
Benthic Phytoplankton,Herbivorous Shrimp
Epiphytes,Herbivorous Shrimp
Thalassia,Predatory Shrimp
Halodule,Predatory Shrimp
Syringodium,Predatory Shrimp
Epiphytes,Predatory Shrimp
Meiofauna,Predatory Shrimp
Bivalves,Predatory Shrimp
Detritivorous Gastropods,Predatory Shrimp
Detritivorous Polychaetes,Predatory Shrimp
Predatory Polychaetes,Predatory Shrimp
Detritivorous Amphipods,Predatory Shrimp
Herbivorous Amphipods,Predatory Shrimp
Herbivorous Shrimp,Predatory Shrimp
Omnivorous Crabs,Predatory Shrimp
Benthic POC,Predatory Shrimp
Synedococcus,Pink Shrimp
Big Diatoms (>20um),Pink Shrimp
Benthic Phytoplankton,Pink Shrimp
Thalassia,Pink Shrimp
Halodule,Pink Shrimp
Syringodium,Pink Shrimp
Epiphytes,Pink Shrimp
Acartia Tonsa,Pink Shrimp
Oithona nana,Pink Shrimp
Paracalanus,Pink Shrimp
Other Copepoda,Pink Shrimp
Other Zooplankton,Pink Shrimp
Meiofauna,Pink Shrimp
Macrobenthos,Pink Shrimp
Benthic Crustaceans,Pink Shrimp
Benthic POC,Pink Shrimp
Epiphytes,Thor Floridanus
Meiofauna,Lobster
Echinoderma,Lobster
Detritivorous Gastropods,Lobster
Macrobenthos,Lobster
Benthic Crustaceans,Lobster
Detritivorous Amphipods,Lobster
Herbivorous Amphipods,Lobster
Isopods,Lobster
Synedococcus,Detritivorous Crabs
Benthic Phytoplankton,Detritivorous Crabs
Meiofauna,Detritivorous Crabs
Benthic POC,Detritivorous Crabs
Thalassia,Omnivorous Crabs
Halodule,Omnivorous Crabs
Syringodium,Omnivorous Crabs
Epiphytes,Omnivorous Crabs
Bivalves,Omnivorous Crabs
Detritivorous Polychaetes,Omnivorous Crabs
Predatory Polychaetes,Omnivorous Crabs
Suspension Feeding Polych,Omnivorous Crabs
Benthic Crustaceans,Omnivorous Crabs
Detritivorous Amphipods,Omnivorous Crabs
Herbivorous Amphipods,Omnivorous Crabs
Benthic POC,Omnivorous Crabs
Bivalves,Predatory Crabs
Herbivorous Shrimp,Predatory Crabs
Predatory Shrimp,Predatory Crabs
Detritivorous Crabs,Predatory Crabs
Omnivorous Crabs,Predatory Crabs
Benthic POC,Predatory Crabs
Bivalves,Callinectus sapidus
Herbivorous Shrimp,Callinectus sapidus
Predatory Shrimp,Callinectus sapidus
Detritivorous Crabs,Callinectus sapidus
Omnivorous Crabs,Callinectus sapidus
Benthic POC,Callinectus sapidus
Bivalves,Stone Crab
Detritivorous Gastropods,Stone Crab
Epiphytic Gastropods,Stone Crab
Predatory Gastropods,Stone Crab
Detritivorous Amphipods,Stone Crab
Lobster,Stone Crab
Omnivorous Crabs,Stone Crab
Bivalves,Sharks
Detritivorous Gastropods,Sharks
Epiphytic Gastropods,Sharks
Predatory Gastropods,Sharks
Predatory Shrimp,Sharks
Pink Shrimp,Sharks
Lobster,Sharks
Detritivorous Crabs,Sharks
Omnivorous Crabs,Sharks
Predatory Crabs,Sharks
Callinectus sapidus,Sharks
Stone Crab,Sharks
Sardines,Sharks
Anchovy,Sharks
Bay Anchovy,Sharks
Catfish,Sharks
Eels,Sharks
Toadfish,Sharks
Brotalus,Sharks
Other Killifish,Sharks
Goldspotted killifish,Sharks
Rainwater killifish,Sharks
Mojarra,Sharks
Grunt,Sharks
Pinfish,Sharks
Mullet,Sharks
Blennies,Sharks
Other Demersal Fishes,Sharks
Bivalves,Rays
Detritivorous Gastropods,Rays
Epiphytic Gastropods,Rays
Predatory Gastropods,Rays
Detritivorous Polychaetes,Rays
Predatory Polychaetes,Rays
Suspension Feeding Polych,Rays
Macrobenthos,Rays
Benthic Crustaceans,Rays
Predatory Shrimp,Rays
Pink Shrimp,Rays
Lobster,Rays
Detritivorous Crabs,Rays
Omnivorous Crabs,Rays
Predatory Crabs,Rays
Callinectus sapidus,Rays
Lobster,Tarpon
Detritivorous Crabs,Tarpon
Omnivorous Crabs,Tarpon
Predatory Crabs,Tarpon
Callinectus sapidus,Tarpon
Stone Crab,Tarpon
Sardines,Tarpon
Anchovy,Tarpon
Bay Anchovy,Tarpon
Catfish,Tarpon
Other Killifish,Tarpon
Goldspotted killifish,Tarpon
Rainwater killifish,Tarpon
Silverside,Tarpon
Other Horsefish,Tarpon
Gulf Pipefish,Tarpon
Dwarf Seahorse,Tarpon
Other Snapper,Tarpon
Mojarra,Tarpon
Grunt,Tarpon
Porgy,Tarpon
Pinfish,Tarpon
Scianids,Tarpon
Parrotfish,Tarpon
Mullet,Tarpon
Flatfish,Tarpon
Filefishes,Tarpon
Other Pelagic Fishes,Tarpon
Other Demersal Fishes,Tarpon
Bivalves,Bonefish
Detritivorous Gastropods,Bonefish
Epiphytic Gastropods,Bonefish
Predatory Gastropods,Bonefish
Detritivorous Polychaetes,Bonefish
Predatory Polychaetes,Bonefish
Suspension Feeding Polych,Bonefish
Macrobenthos,Bonefish
Benthic Crustaceans,Bonefish
Isopods,Bonefish
Herbivorous Shrimp,Bonefish
Predatory Shrimp,Bonefish
Pink Shrimp,Bonefish
Thor Floridanus,Bonefish
Lobster,Bonefish
Detritivorous Crabs,Bonefish
Omnivorous Crabs,Bonefish
Callinectus sapidus,Bonefish
Eels,Bonefish
Toadfish,Bonefish
Brotalus,Bonefish
Blennies,Bonefish
Code Goby,Bonefish
Clown Goby,Bonefish
Acartia Tonsa,Sardines
Oithona nana,Sardines
Paracalanus,Sardines
Other Copepoda,Sardines
Meroplankton,Sardines
Other Zooplankton,Sardines
Sponges,Sardines
Bivalves,Sardines
Detritivorous Gastropods,Sardines
Epiphytic Gastropods,Sardines
Predatory Gastropods,Sardines
Macrobenthos,Sardines
Benthic Crustaceans,Sardines
Detritivorous Amphipods,Sardines
Herbivorous Amphipods,Sardines
Isopods,Sardines
Herbivorous Shrimp,Sardines
Predatory Shrimp,Sardines
Pink Shrimp,Sardines
Thor Floridanus,Sardines
Acartia Tonsa,Anchovy
Oithona nana,Anchovy
Paracalanus,Anchovy
Other Copepoda,Anchovy
Meroplankton,Anchovy
Other Zooplankton,Anchovy
Meiofauna,Anchovy
Bivalves,Anchovy
Detritivorous Gastropods,Anchovy
Epiphytic Gastropods,Anchovy
Predatory Gastropods,Anchovy
Macrobenthos,Anchovy
Benthic Crustaceans,Anchovy
Detritivorous Amphipods,Anchovy
Herbivorous Amphipods,Anchovy
Isopods,Anchovy
Herbivorous Shrimp,Anchovy
Predatory Shrimp,Anchovy
Pink Shrimp,Anchovy
Thor Floridanus,Anchovy
Acartia Tonsa,Bay Anchovy
Oithona nana,Bay Anchovy
Paracalanus,Bay Anchovy
Other Copepoda,Bay Anchovy
Meroplankton,Bay Anchovy
Other Zooplankton,Bay Anchovy
Detritivorous Amphipods,Bay Anchovy
Herbivorous Amphipods,Bay Anchovy
Isopods,Bay Anchovy
Herbivorous Shrimp,Bay Anchovy
Predatory Shrimp,Bay Anchovy
Pink Shrimp,Bay Anchovy
Thor Floridanus,Bay Anchovy
Herbivorous Shrimp,Lizardfish
Predatory Shrimp,Lizardfish
Pink Shrimp,Lizardfish
Thor Floridanus,Lizardfish
Detritivorous Crabs,Lizardfish
Omnivorous Crabs,Lizardfish
Predatory Crabs,Lizardfish
Callinectus sapidus,Lizardfish
Bay Anchovy,Lizardfish
Eels,Lizardfish
Toadfish,Lizardfish
Goldspotted killifish,Lizardfish
Blennies,Lizardfish
Code Goby,Lizardfish
Clown Goby,Lizardfish
Flatfish,Lizardfish
Other Demersal Fishes,Lizardfish
Echinoderma,Catfish
Bivalves,Catfish
Detritivorous Gastropods,Catfish
Epiphytic Gastropods,Catfish
Predatory Gastropods,Catfish
Detritivorous Polychaetes,Catfish
Predatory Polychaetes,Catfish
Suspension Feeding Polych,Catfish
Macrobenthos,Catfish
Benthic Crustaceans,Catfish
Herbivorous Shrimp,Catfish
Predatory Shrimp,Catfish
Pink Shrimp,Catfish
Lobster,Catfish
Detritivorous Crabs,Catfish
Omnivorous Crabs,Catfish
Predatory Crabs,Catfish
Callinectus sapidus,Catfish
Stone Crab,Catfish
Toadfish,Catfish
Brotalus,Catfish
Benthic POC,Catfish
Detritivorous Polychaetes,Eels
Predatory Polychaetes,Eels
Suspension Feeding Polych,Eels
Detritivorous Amphipods,Eels
Herbivorous Amphipods,Eels
Herbivorous Shrimp,Eels
Predatory Shrimp,Eels
Pink Shrimp,Eels
Detritivorous Crabs,Eels
Omnivorous Crabs,Eels
Predatory Crabs,Eels
Callinectus sapidus,Eels
Bay Anchovy,Eels
Lizardfish,Eels
Goldspotted killifish,Eels
Rainwater killifish,Eels
Pinfish,Eels
Code Goby,Eels
Clown Goby,Eels
Filefishes,Eels
Other Demersal Fishes,Eels
Herbivorous Shrimp,Toadfish
Predatory Shrimp,Toadfish
Pink Shrimp,Toadfish
Thor Floridanus,Toadfish
Detritivorous Crabs,Toadfish
Omnivorous Crabs,Toadfish
Predatory Crabs,Toadfish
Callinectus sapidus,Toadfish
Eels,Toadfish
Goldspotted killifish,Toadfish
Blennies,Toadfish
Code Goby,Toadfish
Clown Goby,Toadfish
Herbivorous Shrimp,Brotalus
Predatory Shrimp,Brotalus
Pink Shrimp,Brotalus
Thor Floridanus,Brotalus
Detritivorous Crabs,Brotalus
Omnivorous Crabs,Brotalus
Predatory Crabs,Brotalus
Callinectus sapidus,Brotalus
Eels,Brotalus
Goldspotted killifish,Brotalus
Blennies,Brotalus
Code Goby,Brotalus
Clown Goby,Brotalus
Thalassia,Halfbeaks
Halodule,Halfbeaks
Syringodium,Halfbeaks
Epiphytes,Halfbeaks
Acartia Tonsa,Halfbeaks
Oithona nana,Halfbeaks
Paracalanus,Halfbeaks
Other Copepoda,Halfbeaks
Meroplankton,Halfbeaks
Other Zooplankton,Halfbeaks
Detritivorous Amphipods,Needlefish
Herbivorous Amphipods,Needlefish
Herbivorous Shrimp,Needlefish
Sardines,Needlefish
Anchovy,Needlefish
Bay Anchovy,Needlefish
Halfbeaks,Needlefish
Other Killifish,Needlefish
Goldspotted killifish,Needlefish
Rainwater killifish,Needlefish
Silverside,Needlefish
Other Pelagic Fishes,Needlefish
2um Spherical Phytoplankt,Other Killifish
Big Diatoms (>20um),Other Killifish
Dinoflagellates,Other Killifish
Other Phytoplankton,Other Killifish
Acartia Tonsa,Other Killifish
Oithona nana,Other Killifish
Paracalanus,Other Killifish
Other Copepoda,Other Killifish
Meroplankton,Other Killifish
Other Zooplankton,Other Killifish
Bivalves,Other Killifish
Detritivorous Gastropods,Other Killifish
Macrobenthos,Other Killifish
Benthic Crustaceans,Other Killifish
Detritivorous Amphipods,Other Killifish
Herbivorous Amphipods,Other Killifish
Isopods,Other Killifish
Herbivorous Shrimp,Other Killifish
Predatory Shrimp,Other Killifish
Thor Floridanus,Other Killifish
Acartia Tonsa,Goldspotted killifish
Oithona nana,Goldspotted killifish
Paracalanus,Goldspotted killifish
Other Copepoda,Goldspotted killifish
Meroplankton,Goldspotted killifish
Other Zooplankton,Goldspotted killifish
Bivalves,Goldspotted killifish
Detritivorous Gastropods,Goldspotted killifish
Epiphytic Gastropods,Goldspotted killifish
Detritivorous Polychaetes,Goldspotted killifish
Predatory Polychaetes,Goldspotted killifish
Suspension Feeding Polych,Goldspotted killifish
Macrobenthos,Goldspotted killifish
Benthic Crustaceans,Goldspotted killifish
Detritivorous Amphipods,Goldspotted killifish
Herbivorous Amphipods,Goldspotted killifish
Herbivorous Shrimp,Goldspotted killifish
Predatory Shrimp,Goldspotted killifish
Pink Shrimp,Goldspotted killifish
Thor Floridanus,Goldspotted killifish
Detritivorous Crabs,Goldspotted killifish
Omnivorous Crabs,Goldspotted killifish
2um Spherical Phytoplankt,Rainwater killifish
Big Diatoms (>20um),Rainwater killifish
Dinoflagellates,Rainwater killifish
Other Phytoplankton,Rainwater killifish
Acartia Tonsa,Rainwater killifish
Oithona nana,Rainwater killifish
Paracalanus,Rainwater killifish
Other Copepoda,Rainwater killifish
Meroplankton,Rainwater killifish
Other Zooplankton,Rainwater killifish
Bivalves,Rainwater killifish
Detritivorous Gastropods,Rainwater killifish
Suspension Feeding Polych,Rainwater killifish
Macrobenthos,Rainwater killifish
Benthic Crustaceans,Rainwater killifish
Detritivorous Amphipods,Rainwater killifish
Herbivorous Amphipods,Rainwater killifish
Isopods,Rainwater killifish
Herbivorous Shrimp,Rainwater killifish
Predatory Shrimp,Rainwater killifish
Thor Floridanus,Rainwater killifish
Detritivorous Crabs,Rainwater killifish
Omnivorous Crabs,Rainwater killifish
Meroplankton,Snook
Benthic Crustaceans,Snook
Detritivorous Amphipods,Snook
Herbivorous Amphipods,Snook
Isopods,Snook
Herbivorous Shrimp,Snook
Predatory Shrimp,Snook
Pink Shrimp,Snook
Thor Floridanus,Snook
Detritivorous Crabs,Snook
Omnivorous Crabs,Snook
Predatory Crabs,Snook
Callinectus sapidus,Snook
Sardines,Snook
Anchovy,Snook
Bay Anchovy,Snook
Code Goby,Snook
Clown Goby,Snook
Other Demersal Fishes,Snook
2um Spherical Phytoplankt,Sailfin Molly
Synedococcus,Sailfin Molly
Oscillatoria,Sailfin Molly
Big Diatoms (>20um),Sailfin Molly
Dinoflagellates,Sailfin Molly
Other Phytoplankton,Sailfin Molly
Benthic Phytoplankton,Sailfin Molly
Drift Algae,Sailfin Molly
Epiphytes,Sailfin Molly
Acartia Tonsa,Silverside
Oithona nana,Silverside
Paracalanus,Silverside
Other Copepoda,Silverside
Meroplankton,Silverside
Other Zooplankton,Silverside
Detritivorous Amphipods,Silverside
Herbivorous Amphipods,Silverside
Isopods,Silverside
Herbivorous Shrimp,Silverside
Predatory Shrimp,Silverside
Pink Shrimp,Silverside
Thor Floridanus,Silverside
Acartia Tonsa,Other Horsefish
Oithona nana,Other Horsefish
Paracalanus,Other Horsefish
Other Copepoda,Other Horsefish
Other Zooplankton,Other Horsefish
Benthic Crustaceans,Other Horsefish
Detritivorous Amphipods,Other Horsefish
Herbivorous Amphipods,Other Horsefish
Isopods,Other Horsefish
Herbivorous Shrimp,Other Horsefish
Predatory Shrimp,Other Horsefish
Pink Shrimp,Other Horsefish
Thor Floridanus,Other Horsefish
Acartia Tonsa,Gulf Pipefish
Oithona nana,Gulf Pipefish
Paracalanus,Gulf Pipefish
Other Copepoda,Gulf Pipefish
Other Zooplankton,Gulf Pipefish
Detritivorous Gastropods,Gulf Pipefish
Benthic Crustaceans,Gulf Pipefish
Detritivorous Amphipods,Gulf Pipefish
Herbivorous Amphipods,Gulf Pipefish
Isopods,Gulf Pipefish
Herbivorous Shrimp,Gulf Pipefish
Predatory Shrimp,Gulf Pipefish
Pink Shrimp,Gulf Pipefish
Thor Floridanus,Gulf Pipefish
Acartia Tonsa,Dwarf Seahorse
Oithona nana,Dwarf Seahorse
Paracalanus,Dwarf Seahorse
Other Copepoda,Dwarf Seahorse
Other Zooplankton,Dwarf Seahorse
Benthic Crustaceans,Dwarf Seahorse
Detritivorous Amphipods,Dwarf Seahorse
Herbivorous Amphipods,Dwarf Seahorse
Isopods,Dwarf Seahorse
Herbivorous Shrimp,Dwarf Seahorse
Predatory Shrimp,Dwarf Seahorse
Pink Shrimp,Dwarf Seahorse
Thor Floridanus,Dwarf Seahorse
Herbivorous Shrimp,Grouper
Predatory Shrimp,Grouper
Pink Shrimp,Grouper
Lobster,Grouper
Detritivorous Crabs,Grouper
Omnivorous Crabs,Grouper
Predatory Crabs,Grouper
Callinectus sapidus,Grouper
Stone Crab,Grouper
Sardines,Grouper
Bay Anchovy,Grouper
Eels,Grouper
Toadfish,Grouper
Brotalus,Grouper
Goldspotted killifish,Grouper
Rainwater killifish,Grouper
Sailfin Molly,Grouper
Silverside,Grouper
Other Horsefish,Grouper
Gulf Pipefish,Grouper
Dwarf Seahorse,Grouper
Mojarra,Grouper
Grunt,Grouper
Pinfish,Grouper
Mullet,Grouper
Blennies,Grouper
Code Goby,Grouper
Clown Goby,Grouper
Flatfish,Grouper
Other Demersal Fishes,Grouper
Acartia Tonsa,Jacks
Oithona nana,Jacks
Paracalanus,Jacks
Other Copepoda,Jacks
Herbivorous Shrimp,Jacks
Predatory Shrimp,Jacks
Pink Shrimp,Jacks
Sardines,Jacks
Anchovy,Jacks
Bay Anchovy,Jacks
Halfbeaks,Jacks
Needlefish,Jacks
Goldspotted killifish,Jacks
Rainwater killifish,Jacks
Silverside,Jacks
Mojarra,Jacks
Pinfish,Jacks
Other Pelagic Fishes,Jacks
Acartia Tonsa,Pompano
Oithona nana,Pompano
Paracalanus,Pompano
Other Copepoda,Pompano
Bivalves,Pompano
Detritivorous Gastropods,Pompano
Predatory Gastropods,Pompano
Detritivorous Polychaetes,Pompano
Predatory Polychaetes,Pompano
Suspension Feeding Polych,Pompano
Macrobenthos,Pompano
Benthic Crustaceans,Pompano
Isopods,Pompano
Herbivorous Shrimp,Pompano
Predatory Shrimp,Pompano
Pink Shrimp,Pompano
Detritivorous Crabs,Pompano
Omnivorous Crabs,Pompano
Predatory Crabs,Pompano
Callinectus sapidus,Pompano
Sardines,Pompano
Anchovy,Pompano
Bay Anchovy,Pompano
Eels,Pompano
Goldspotted killifish,Pompano
Rainwater killifish,Pompano
Silverside,Pompano
Mojarra,Pompano
Pinfish,Pompano
Blennies,Pompano
Code Goby,Pompano
Clown Goby,Pompano
Other Demersal Fishes,Pompano
Isopods,Other Snapper
Herbivorous Shrimp,Other Snapper
Predatory Shrimp,Other Snapper
Pink Shrimp,Other Snapper
Thor Floridanus,Other Snapper
Sardines,Other Snapper
Anchovy,Other Snapper
Bay Anchovy,Other Snapper
Toadfish,Other Snapper
Other Killifish,Other Snapper
Goldspotted killifish,Other Snapper
Rainwater killifish,Other Snapper
Sailfin Molly,Other Snapper
Other Horsefish,Other Snapper
Gulf Pipefish,Other Snapper
Dwarf Seahorse,Other Snapper
Mojarra,Other Snapper
Pinfish,Other Snapper
Code Goby,Other Snapper
Clown Goby,Other Snapper
Other Demersal Fishes,Other Snapper
Herbivorous Shrimp,Gray Snapper
Predatory Shrimp,Gray Snapper
Pink Shrimp,Gray Snapper
Thor Floridanus,Gray Snapper
Sardines,Gray Snapper
Anchovy,Gray Snapper
Bay Anchovy,Gray Snapper
Toadfish,Gray Snapper
Other Killifish,Gray Snapper
Goldspotted killifish,Gray Snapper
Rainwater killifish,Gray Snapper
Sailfin Molly,Gray Snapper
Other Horsefish,Gray Snapper
Gulf Pipefish,Gray Snapper
Dwarf Seahorse,Gray Snapper
Mojarra,Gray Snapper
Pinfish,Gray Snapper
Code Goby,Gray Snapper
Clown Goby,Gray Snapper
Other Demersal Fishes,Gray Snapper
Acartia Tonsa,Mojarra
Oithona nana,Mojarra
Paracalanus,Mojarra
Other Copepoda,Mojarra
Sponges,Mojarra
Other Cnidaridae,Mojarra
Bivalves,Mojarra
Detritivorous Gastropods,Mojarra
Epiphytic Gastropods,Mojarra
Predatory Gastropods,Mojarra
Detritivorous Polychaetes,Mojarra
Predatory Polychaetes,Mojarra
Suspension Feeding Polych,Mojarra
Macrobenthos,Mojarra
Benthic Crustaceans,Mojarra
Detritivorous Amphipods,Mojarra
Herbivorous Amphipods,Mojarra
Isopods,Mojarra
Herbivorous Shrimp,Mojarra
Predatory Shrimp,Mojarra
Pink Shrimp,Mojarra
Thor Floridanus,Mojarra
Acartia Tonsa,Grunt
Oithona nana,Grunt
Paracalanus,Grunt
Other Copepoda,Grunt
Meiofauna,Grunt
Bivalves,Grunt
Detritivorous Gastropods,Grunt
Epiphytic Gastropods,Grunt
Predatory Gastropods,Grunt
Detritivorous Polychaetes,Grunt
Predatory Polychaetes,Grunt
Suspension Feeding Polych,Grunt
Macrobenthos,Grunt
Benthic Crustaceans,Grunt
